Municipio,Total 2010,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2011,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2012,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2013,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2014,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2015,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2016,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2017,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado
Cuautitlán de García Barragán,416,0,75,308,8,25,467,0,81,341,12,33,391,0,78,285,13,15,406,1,56,325,9,15,403,1,77,301,10,14,328,2,62,240,3,21,328,3,53,263,3,6,359,0,83,258,10,8
Cuautla,39,0,6,30,1,2,47,0,5,37,4,1,38,0,11,26,1,0,39,0,3,35,0,1,44,0,7,36,0,1,29,0,8,21,0,0,38,0,6,27,4,1,48,0,6,39,2,1
Cuquío,402,1,45,326,11,19,416,1,45,319,18,33,364,0,46,295,11,12,383,1,41,322,9,10,390,2,49,313,16,10,344,0,56,275,9,4,338,3,48,271,11,5,357,1,39,297,15,5
Chapala,1080,5,224,815,22,14,1145,7,222,869,23,24,1080,2,225,812,25,16,1027,2,209,793,17,6,1021,2,188,790,28,13,1043,3,200,813,22,5,963,4,180,750,20,9,992,6,163,770,24,29
Chimaltitán,94,0,22,64,4,4,87,0,19,65,1,2,71,2,21,41,3,4,100,1,16,77,2,4,68,0,12,51,1,4,62,0,10,48,0,4,50,1,7,37,2,3,68,0,14,51,1,2
Chiquilistlán,152,0,26,116,9,1,141,0,37,94,6,4,153,,32,118,3,0,149,0,24,118,2,5,141,0,23,116,1,1,136,0,20,114,1,1,147,0,26,115,3,3,133,0,20,109,3,1
Degollado,406,1,58,328,8,11,432,2,79,332,9,10,475,,82,384,9,0,485,0,78,385,15,7,458,0,79,362,15,2,458,1,76,359,20,2,432,1,67,351,11,2,513,1,71,405,17,19
Ejutla,31,0,5,21,2,3,43,0,2,35,0,6,31,0,6,24,0,1,28,0,4,24,0,0,29,0,2,25,1,1,33,0,3,28,1,1,32,0,6,26,0,0,29,2,3,18,0,6
Encarnación de Díaz,1128,1,159,926,21,21,1183,1,160,953,33,36,1147,2,152,954,22,17,1105,1,154,898,27,25,1111,2,126,952,18,13,1062,4,153,866,23,16,1067,1,138,885,28,15,1044,7,133,869,20,15
Etzatlán,434,0,76,343,6,9,452,1,70,361,9,11,426,1,77,335,8,5,397,1,73,310,8,5,395,0,59,323,10,3,408,0,59,338,10,1,352,0,56,283,11,2,343,1,48,285,6,3
El Grullo,477,1,88,367,9,12,579,1,115,446,10,7,498,1,99,382,11,5,448,1,81,345,8,13,460,0,84,360,8,8,478,0,79,383,13,3,466,2,72,380,8,4,470,5,81,356,9,19
Guachinango,80,0,11,64,3,2,84,0,11,68,3,2,81,0,16,64,0,1,89,0,16,70,1,2,68,0,15,50,2,1,67,0,9,56,1,1,67,0,11,52,3,1,69,2,7,55,5,0
Guadalajara,30749,68,4396,25443,640,202,30631,68,4473,25233,633,224,30778,69,4589,25197,669,254,29644,59,4516,24180,719,170,28996,57,4401,23672,684,182,27377,54,3585,22963,686,89,26857,51,3635,22368,684,119,27249,96,3737,22338,701,377
Hostotipaquillo,241,1,42,182,6,10,257,0,56,177,5,19,242,0,38,194,5,5,206,0,49,149,5,3,199,0,28,162,2,7,198,2,44,140,2,10,168,0,24,132,7,5,149,0,27,116,4,2
Huejúcar,103,1,7,88,6,1,90,0,12,73,5,0,99,0,9,89,1,0,85,0,9,74,2,0,104,0,9,91,4,0,83,0,9,67,5,2,90,0,6,70,8,6,108,0,12,85,5,6
Huejuquilla el Alto,294,3,58,215,11,7,309,2,50,233,5,19,244,5,35,191,8,5,236,1,44,179,4,8,214,0,36,166,5,7,223,0,32,179,7,5,235,0,38,180,5,12,270,4,43,204,4,15
La Huerta,580,4,110,435,11,20,558,2,122,399,7,28,487,1,98,370,9,9,443,1,93,336,9,4,444,2,89,333,10,10,407,1,73,322,8,3,442,2,80,351,7,2,451,1,93,337,8,12
Ixtlahuacán de los Membrillos,755,2,127,589,19,18,828,4,187,605,14,18,963,2,232,701,18,10,967,5,231,706,17,8,1024,4,234,754,19,13,1045,6,270,753,10,6,1044,7,239,774,12,12,1075,5,254,785,22,9
Ixtlahuacán del Río,490,1,80,383,12,14,477,2,83,371,11,10,427,1,57,351,6,12,417,2,50,339,14,12,419,1,53,344,14,7,397,0,54,321,13,9,389,0,51,319,13,6,426,3,71,333,12,7
Jalostotitlán,772,1,108,625,24,14,723,1,89,602,19,12,757,2,115,617,15,8,711,1,98,600,11,1,748,1,100,622,25,0,696,1,89,590,14,2,752,1,109,619,23,0,872,11,104,683,31,43
Jamay,524,2,95,405,9,13,522,1,98,409,6,8,520,1,93,416,9,1,522,3,87,415,9,8,495,3,94,378,14,6,453,0,87,355,5,6,480,1,78,391,6,4,519,1,105,400,5,8
Jesús María,412,0,52,327,16,17,441,0,65,341,16,19,378,,63,296,10,9,376,1,59,292,18,6,366,0,47,305,13,1,353,1,51,283,15,3,343,1,43,277,18,4,371,2,37,304,16,12
Jilotlán de los Dolores,183,0,34,131,1,17,180,2,39,122,7,10,170,,33,132,4,1,126,1,22,99,2,2,188,1,39,141,3,4,126,0,21,97,3,5,118,0,20,97,0,1,164,0,29,124,8,3
Jocotepec,1057,3,208,811,14,21,1120,6,236,823,22,33,1124,2,235,851,21,15,1045,4,220,766,20,35,1059,1,204,817,18,19,1036,3,221,792,9,11,963,2,174,752,27,8,1087,5,241,806,21,14
Juanacatlán,315,0,47,255,5,8,363,0,55,297,3,8,293,2,59,223,4,5,346,2,51,279,4,10,377,3,75,288,9,2,371,0,56,303,5,7,338,1,64,259,9,5,378,0,73,293,4,8
Juchitlán,150,1,22,110,3,14,123,0,17,94,1,11,123,,17,98,3,5,122,1,12,106,1,2,121,0,22,93,1,5,120,0,17,100,2,1,92,0,12,76,2,2,117,2,14,95,4,2
Lagos de Moreno,3646,10,584,2954,83,15,3767,2,596,3039,91,39,3638,6,553,2962,88,29,3738,11,575,3028,85,39,3819,5,569,3141,77,27,3755,3,593,3039,80,40,3523,10,569,2852,83,9,3609,8,574,2922,83,22
El Limón,88,0,13,69,2,4,92,0,16,69,3,4,83,,9,69,4,1,75,0,14,60,0,1,72,0,7,62,1,2,72,0,8,64,0,0,76,0,11,61,3,1,95,4,17,69,2,3
Magdalena,541,1,85,424,14,17,550,0,118,404,12,16,544,2,102,417,14,9,510,4,87,390,18,11,478,2,76,375,17,8,430,0,67,342,13,8,480,1,75,383,14,7,465,3,77,365,14,6
Santa María del Oro,36,0,3,32,0,1,45,0,5,39,1,0,27,0,1,24,2,0,18,0,1,15,2,0,30,0,4,19,6,1,26,0,1,22,2,1,26,0,1,21,3,1,15,0,0,13,2,0
La Manzanilla de la Paz,76,0,9,64,0,3,78,0,8,64,3,3,63,0,12,49,1,1,68,0,9,57,2,0,76,0,9,64,3,0,63,0,10,51,2,0,56,1,5,48,1,1,76,0,16,58,0,2
Mascota,246,0,36,202,7,1,252,0,53,189,5,5,249,3,50,188,6,2,245,1,57,182,4,1,241,1,35,196,6,3,229,0,35,191,3,0,228,0,31,189,8,0,237,0,39,186,7,5
Mazamitla,300,0,38,227,12,23,317,0,53,239,11,14,319,1,47,259,7,5,326,1,60,254,9,2,287,1,45,225,8,8,277,1,52,219,3,2,278,2,49,215,8,4,279,0,34,231,7,7
Mexticacán,117,0,14,96,4,3,155,2,17,125,3,8,116,0,10,100,5,1,113,0,8,98,4,3,126,0,13,103,1,9,108,0,11,91,4,2,117,0,12,99,4,2,112,0,13,95,3,1
